Country,Year,Constituency,Candidate,Party,Votes,Elected
Jordan,2016,Amman 1,Musa Hattar,Islamic Action Front,9200,Yes
Jordan,2016,Amman 1,Ahmad Al-Safadi,National Charter Party,7800,Yes
Jordan,2016,Amman 1,Khalil Atiyyeh,Erada Party,7100,Yes
Jordan,2016,Amman 1,Mohammad Al-Momani,National Islamic Party,6500,No
Jordan,2016,Amman 1,Ahmad Al-Zoubi,Independent,5800,No
Jordan,2016,Amman 2,Zaid Abu Hassan,Islamic Action Front,8500,Yes
Jordan,2016,Amman 2,Rima Khalaf,National Charter Party,7200,Yes
Jordan,2016,Amman 2,Ahmad Al-Zoubi,Erada Party,6800,Yes
Jordan,2016,Amman 2,Khalil Al-Salem,National Islamic Party,6100,No
Jordan,2016,Irbid,Abdul Karim Dughmi,Islamic Action Front,10500,Yes
Jordan,2016,Irbid,Khalil Al-Salem,National Charter Party,9200,Yes
Jordan,2016,Irbid,Ahmad Al-Khalayleh,Erada Party,8500,Yes
Jordan,2016,Irbid,Mohammad Al-Hajj,National Islamic Party,7800,Yes
Jordan,2016,Irbid,Ahmad Al-Sarhan,Independent,7200,No
Jordan,2016,Zarqa,Ahmad Al-Sarhan,Islamic Action Front,7200,Yes
Jordan,2016,Zarqa,Khalil Al-Majali,National Charter Party,6500,Yes
Jordan,2016,Zarqa,Ahmad Al-Zoubi,Erada Party,5800,Yes
Jordan,2016,Zarqa,Mohammad Al-Hajj,National Islamic Party,5200,No
Jordan,2016,National List,Musa Hattar,Islamic Action Front,42000,Yes
Jordan,2016,National List,Rima Khalaf,National Charter Party,35000,Yes
Jordan,2016,National List,Ahmad Al-Khalayleh,Erada Party,32000,Yes
Jordan,2016,National List,Mohammad Al-Hajj,National Islamic Party,28000,Yes
Jordan,2016,National List,Zaid Abu Hassan,Islamic Action Front,25000,Yes
Jordan,2016,National List,Ahmad Al-Safadi,National Charter Party,22000,Yes
Jordan,2016,National List,Khalil Atiyyeh,Erada Party,20000,Yes
Jordan,2016,National List,Abdul Karim Dughmi,Islamic Action Front,18000,Yes
Jordan,2016,National List,Khalil Al-Salem,National Charter Party,16000,Yes
Jordan,2016,National List,Ahmad Al-Zoubi,Erada Party,15000,Yes
Jordan,2016,National List,Mohammad Al-Momani,National Islamic Party,14000,Yes
Jordan,2016,National List,Ahmad Al-Sarhan,Islamic Action Front,13000,Yes
Jordan,2016,National List,Khalil Al-Majali,National Charter Party,12000,Yes
Jordan,2016,National List,Mohammad Al-Hajj,National Islamic Party,11000,Yes
Jordan,2016,National List,Independent 1,Independent,10000,Yes
Jordan,2016,National List,Independent 2,Independent,9000,Yes
Jordan,2016,National List,Independent 3,Independent,8000,Yes
Jordan,2016,National List,Independent 4,Independent,7000,Yes
Jordan,2016,National List,Independent 5,Independent,6000,Yes
Jordan,2016,National List,Independent 6,Independent,5000,Yes
Jordan,2016,National List,Independent 7,Independent,4000,Yes
Jordan,2016,National List,Independent 8,Independent,3000,Yes
Jordan,2016,National List,Independent 9,Independent,2000,Yes
Jordan,2016,National List,Independent 10,Independent,1000,Yes
