Country,Year,Constituency,Candidate,Party,Votes,Elected
Vanuatu,2020,Port Vila,Bob Loughman,Vanua'aku Pati,1250,Yes
Vanuatu,2020,Port Vila,Ralph Regenvanu,Graon mo Jastis Pati,1180,Yes
Vanuatu,2020,Port Vila,Alatoi Ishmael Kalsakau,Union of Moderate Parties,1100,Yes
Vanuatu,2020,Port Vila,Bruno Leingkone,Reunification of Movements for Change,980,No
Vanuatu,2020,Port Vila,Charlot Salwai,Reunification of Movements for Change,850,No
Vanuatu,2020,Port Vila,Ham Lini,Vanua'aku Pati,720,No
Vanuatu,2020,Luganville,Sato Kilman,Union of Moderate Parties,1350,Yes
Vanuatu,2020,Luganville,Charlot Salwai,Reunification of Movements for Change,1200,Yes
Vanuatu,2020,Luganville,Ham Lini,Vanua'aku Pati,1050,No
Vanuatu,2020,Luganville,Bruno Leingkone,Graon mo Jastis Pati,900,No
Vanuatu,2020,Tanna,Joe Natuman,Vanua'aku Pati,850,Yes
Vanuatu,2020,Tanna,Johnny Koanapo,Union of Moderate Parties,720,No
Vanuatu,2020,Tanna,Ralph Regenvanu,Graon mo Jastis Pati,680,No
Vanuatu,2020,Malekula,Alatoi Ishmael Kalsakau,Union of Moderate Parties,950,Yes
Vanuatu,2020,Malekula,Bob Loughman,Vanua'aku Pati,880,Yes
Vanuatu,2020,Malekula,Charlot Salwai,Reunification of Movements for Change,750,No
Vanuatu,2020,Ambae,Joe Natuman,Vanua'aku Pati,650,Yes
Vanuatu,2020,Ambae,Ham Lini,Vanua'aku Pati,580,No
Vanuatu,2020,Ambae,Johnny Koanapo,Union of Moderate Parties,520,No
